Company Name,Industry,Symbol,yahoo finance symbol
3M India Ltd.,Diversified,3MINDIA,3MINDIA.NS
ABB India Ltd.,Capital Goods,ABB,ABB.NS
ACC Ltd.,Construction Materials,ACC,ACC.NS
AIA Engineering Ltd.,Capital Goods,AIAENG,AIAENG.NS
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,APLAPOLLO.NS
AU Small Finance Bank Ltd.,Financial Services,AUBANK,AUBANK.NS
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,AARTIDRUGS.NS
Aarti Industries Ltd.,Chemicals,AARTIIND,AARTIIND.NS
Aavas Financiers Ltd.,Financial Services,AAVAS,AAVAS.NS
Abbott India Ltd.,Healthcare,ABBOTINDIA,ABBOTINDIA.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,ADANIPORTS.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,ATGL.NS
Adani Transmission Ltd.,Power,ADANITRANS,ADANITRANS.NS
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,ABFRL.NS
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,ABSLAMC.NS
Advanced Enzyme Tech Ltd.,Fast Moving Consumer Goods,ADVENZYMES,ADVENZYMES.NS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,AEGISCHEM.NS
Affle (India) Ltd.,Information Technology,AFFLE,AFFLE.NS
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,AJANTPHARM.NS
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,APLLTD.NS
Alkem Laboratories Ltd.,Healthcare,ALKEM,ALKEM.NS
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,ALKYLAMINE.NS
Allcargo Logistics Ltd.,Services,ALLCARGO,ALLCARGO.NS
Alok Industries Ltd.,Textiles,ALOKINDS,ALOKINDS.NS
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,AMARAJABAT.NS
Amber Enterprises India Ltd.,Consumer Durables,AMBER,AMBER.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,AMBUJACEM.NS
Angel One Ltd.,Financial Services,ANGELONE,ANGELONE.NS
Anupam Rasayan India Ltd.,Chemicals,ANURAS,ANURAS.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,APOLLOHOSP.NS
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,APOLLOTYRE.NS
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,APTUS.NS
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,ASAHIINDIA.NS
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,ASHOKLEY.NS
